,time,A,W,C,beta_hat,alpha,gamma,zeta,limit,q,r,N,M,p,s_final,route_adjacent_ratio,traced_edges,traced_edges_distant,group 0 adoption rate,group 1 adoption rate,avg. exp. interval - group 0,avg. exp. interval - group 1,avg. eff. inf. interval - group 0,avg. eff. inf. interval - group 1,case,infected_ratio
26,242,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1464,0.8839285714285714,0,0,,1.0,,3.0327272727272727,,1.6661728395061728,q-0.0_r-0.0,-31.533333333333335
27,330,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,971,0.8717948717948718,0,0,,1.0,,3.0607210626185957,,3.2074074074074073,q-0.0_r-0.0,-20.57777777777778
28,357,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,642,0.8690303907380608,0,0,,1.0,,2.790251107828656,,4.464691358024691,q-0.0_r-0.0,-13.266666666666667
29,244,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,507,0.8714568226763348,0,0,,1.0,,3.0176630434782608,,4.78962962962963,q-0.0_r-0.0,-10.266666666666667
30,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
31,217,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,626,0.8698140200286123,0,0,,1.0,,3.144560357675112,,4.5525925925925925,q-0.0_r-0.0,-12.911111111111111
32,8,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.955555555555556
33,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
34,7,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,3.0,,0.0004938271604938272,q-0.0_r-0.0,-43.93333333333333
35,275,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,763,0.8612212529738303,0,0,,1.0,,3.115740740740741,,4.174320987654321,q-0.0_r-0.0,-15.955555555555556
36,9,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2022,1.0,0,0,,1.0,,1.0,,0.0004938271604938272,q-0.0_r-0.0,-43.93333333333333
37,19,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2015,1.0,0,0,,1.0,,1.0,,0.016296296296296295,q-0.0_r-0.0,-43.77777777777778
38,307,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,700,0.8655589123867069,0,0,,1.0,,3.112094395280236,,4.297777777777778,q-0.0_r-0.0,-14.555555555555555
39,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
40,248,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,692,0.8686186186186187,0,0,,1.0,,3.1134185303514377,,4.114074074074074,q-0.0_r-0.0,-14.377777777777778
41,17,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.955555555555556
42,295,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,626,0.8705293276108726,0,0,,1.0,,3.1422287390029324,,4.694320987654321,q-0.0_r-0.0,-12.911111111111111
43,299,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,809,0.8765432098765432,0,0,,1.0,,2.963317384370016,,3.7649382716049384,q-0.0_r-0.0,-16.977777777777778
44,5,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2023,1.0,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.955555555555556
45,55,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2011,0.8461538461538461,0,0,,1.0,,4.428571428571429,,0.056790123456790124,q-0.0_r-0.0,-43.68888888888889
46,310,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,806,0.8653530377668309,0,0,,1.0,,3.118150684931507,,3.814320987654321,q-0.0_r-0.0,-16.91111111111111
47,326,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,707,0.8792710706150342,0,0,,1.0,,3.1732522796352582,,4.172345679012346,q-0.0_r-0.0,-14.71111111111111
48,32,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
49,18,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2015,0.8888888888888888,0,0,,1.0,,0.6,,0.013333333333333334,q-0.0_r-0.0,-43.77777777777778
50,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
51,344,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,599,0.8631578947368421,0,0,,1.0,,3.0907859078590785,,4.636049382716049,q-0.0_r-0.0,-12.311111111111112
52,59,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,1985,0.9230769230769231,0,0,,1.0,,3.263157894736842,,0.12296296296296297,q-0.0_r-0.0,-43.111111111111114
53,2,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,,0,0,,1.0,,,,0.0,q-0.0_r-0.0,-43.977777777777774
54,368,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,892,0.8719081272084805,0,0,,1.0,,3.245045045045045,,3.3698765432098767,q-0.0_r-0.0,-18.822222222222223
55,233,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,720,0.8673312883435583,0,0,,1.0,,3.121359223300971,,4.279012345679012,q-0.0_r-0.0,-15.0
56,324,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,577,0.8686938493434693,0,0,,1.0,,2.974700399467377,,4.465185185185185,q-0.0_r-0.0,-11.822222222222223
57,229,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,690,0.8703148425787106,0,0,,1.0,,3.086319218241042,,4.477037037037037,q-0.0_r-0.0,-14.333333333333334
58,233,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,798,0.8613376835236541,0,0,,1.0,,3.0784982935153584,,3.697283950617284,q-0.0_r-0.0,-16.733333333333334
59,280,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,554,0.8693877551020408,0,0,,1.0,,3.1430615164520743,,4.9595061728395065,q-0.0_r-0.0,-11.311111111111112
60,224,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,719,0.8605363984674329,0,0,,1.0,,2.7166123778501627,,4.286913580246914,q-0.0_r-0.0,-14.977777777777778
61,2,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.0,45,45,0.1,2024,1.0,0,0,,1.0,,-1.0,,0.0,q-0.0_r-0.0,-43.977777777777774
